City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2806,-36.5098,275.12,75,3,2.11,South_Georgia,1725578497
1,georgetown,6.8137,-58.1624,305.9,80,64,1.97,Guyana,1725578499
2,bilibino,68.055,166.4449,279.24,87,99,1.13,Anadyr,1725578500
3,mhamid,29.8249,-5.7198,312.08,36,51,3.9,Casablanca,1725578502
4,port-aux-francais,-49.3498,70.22,278.71,90,100,15.16,Kerguelen,1725578504
5,touros,-5.1999,-35.4595,301.85,80,17,5.99,Fortaleza,1725578506
6,chonchi,-42.624,-73.7724,283.48,97,89,1.77,Santiago,1725578507
7,hilo,19.6854,-155.1004,300.15,74,0,3.6,Honolulu,1725578509
8,aykhal,65.9516,111.4918,277.04,73,100,3.53,Yakutsk,1725578511
9,college,43.6607,-79.3828,296.92,73,0,4.63,Toronto,1725578513
10,ribeira grande,37.8225,-25.5195,297.72,83,40,3.6,Azores,1725578514
11,hasaki,12.2486,109.1899,306.1,74,100,2.42,Ho_Chi_Minh,1725578516
12,saipan,15.191,145.7467,302.34,78,75,3.6,Saipan,1725578518
13,kilinochchi,9.384,80.4087,307.25,80,100,5.34,Colombo,1725578519
14,qaqortoq,60.7182,-46.0385,279.98,90,100,3.61,Nuuk,1725578521
15,talnakh,69.494,88.3908,280.89,99,100,2.26,Krasnoyarsk,1725578523
16,nar'yan-mar,67.638,53.0071,286.5,89,57,6.14,Moscow,1725578524
17,makamba,-4.1978,29.8074,302.73,52,28,0.6,Bujumbura,1725578526
18,cill airne,52.0596,-9.5053,296.33,82,100,4.12,Dublin,1725578528
19,waitangi,-35.2705,174.0805,290.13,80,50,2.87,Auckland,1725578530
20,burkburnett,34.0924,-98.5705,306.3,39,40,6.17,Chicago,1725578531
21,bredasdorp,-34.5331,20.0428,288.32,82,4,3.08,Johannesburg,1725578533
22,albany,42.6512,-73.755,300.38,62,0,2.37,New_York,1725578535
23,oyama,36.3155,139.8007,307.23,74,100,0.92,Tokyo,1725578536
24,port elizabeth,-33.9618,25.6187,289.53,67,0,5.14,Johannesburg,1725578538
25,margate,51.3878,1.382,291.54,91,97,1.12,London,1725578540
26,ushuaia,-54.8069,-68.3073,281.25,57,75,5.66,Argentina,1725578542
27,west island,-12.1459,96.8423,299.63,83,75,6.69,Cocos,1725578543
28,menaka,-7.1598,145.8111,296.16,82,46,0.13,Port_Moresby,1725578545
